X,Y,perte_charge
0.019955992,0.005512116,5.0
0.020427145,0.00548734,5.0
0.020938165,0.005470894,5.0
0.021580157,0.005454504,5.0
0.02190993,0.005446327,5.0
0.02225681,0.005439495,5.0
0.022591867,0.00543267,5.0
0.022896858,0.005430406,5.0
0.023205967,0.005425867,5.0
0.023474235,0.005419057,5.0
0.023809379,0.005412258,5.0
0.024158562,0.005403202,5.0
0.024503479,0.00539416,5.0
0.024843798,0.005380619,5.0
0.025208172,0.005385152,5.0
0.025685905,0.005369386,5.0
0.026082611,0.005369405,5.0
0.026587112,0.005358181,5.0
0.027132557,0.005358207,5.0
0.027636192,0.005351493,5.0
0.028268074,0.005344793,5.0
0.029148014,0.005340354,5.0
0.029986329,0.005333678,5.0
0.030825125,0.005322544,5.0
0.031554115,0.005318116,5.0
0.032424349,0.005307015,5.0
0.033140335,0.005304824,5.0
0.03406738,0.005298196,5.0
0.034673189,0.005289343,5.0
0.035049897,0.005289804,5.0
0.035504087,0.005289825,5.0
0.036096702,0.005284531,5.0
0.036614932,0.005281895,5.0
0.037328944,0.005281928,5.0
0.037934576,0.005276641,5.0
0.038479198,0.005276666,5.0
0.039229569,0.0052767,5.0
0.039774492,0.005276724,5.0
0.040326985,0.005276749,5.0
0.041113394,0.005276784,5.0
0.041742031,0.005276812,5.0
0.042968975,0.005276866,5.0
0.044069568,0.005276914,5.0
0.044970307,0.005276953,5.0
0.04656971,0.005277021,5.0
0.047543412,0.005277063,5.0
0.048248184,0.005277092,5.0
0.048806047,0.005274461,5.0
0.049575107,0.005271839,5.0
0.050333136,0.005269218,5.0
0.051173307,0.005269253,5.0
0.052123286,0.005266641,5.0
0.052823033,0.005266669,5.0
0.053680074,0.005264054,5.0
0.055283355,0.005253532,5.0
0.056232004,0.005245645,5.0
0.057328594,0.005237774,5.0
0.058797018,0.005235196,5.0
0.059998797,0.005235243,5.0
0.061140729,0.00523002,5.0
0.06274809,0.005233933,5.0
0.06404241,0.005233982,5.0
0.065039613,0.005234019,5.0
0.066527886,0.005234074,5.0
0.06771309,0.005234117,5.0
0.069033597,0.005234165,5.0
0.070652245,0.005234223,5.0
0.0727491,0.005234297,5.0
0.07429071,0.005237512,5.0
0.076284784,0.005237581,5.0
0.078548812,0.005237658,5.0
0.080346224,0.005237718,5.0
0.082685153,0.005237796,5.0
0.085045229,0.005237873,5.0
0.087279804,0.005237945,5.0
0.089129337,0.005238003,5.0
0.091118573,0.005238066,5.0
0.093306546,0.005238134,5.0
0.095231229,0.005238193,5.0
0.097088403,0.005238249,5.0
0.099914718,0.005235171,5.0
0.102426895,0.005235245,5.0
0.105874982,0.005225871,5.0
0.107820646,0.005210174,5.0
0.109862669,0.005191391,5.0
0.112873837,0.00518208,5.0
0.115711842,0.005172779,5.0
0.119211811,0.005169751,5.0
0.123224954,0.005157387,5.0
0.128148719,0.005141968,5.0
0.131661102,0.005138954,5.0
0.136168441,0.005111218,5.0
0.140519562,0.005077493,5.0
0.144769909,0.005071467,5.0
0.147837724,0.005062362,5.0
0.151387686,0.005056335,5.0
0.1554512,0.005041187,5.0
0.159976551,0.005041288,5.0
0.163186401,0.005026164,5.0
0.166736448,0.005005047,5.0
0.171023107,0.004993067,5.0
0.1756137,0.004987138,5.0
0.180925572,0.004981229,5.0
0.185372352,0.004981318,5.0
0.190663489,0.00497241,5.0
0.195349575,0.004957516,5.0
0.199049346,0.004930728,5.0
0.203716567,0.004910026,5.0
0.208263279,0.004904186,5.0
0.21291144,0.004886542,5.0
0.216107463,0.004877759,5.0
0.221052673,0.004869023,5.0
0.224866688,0.004848561,5.0
0.22963185,0.004834033,5.0
0.234497986,0.004816642,5.0
0.238544035,0.004813803,5.0
0.244811884,0.004796506,5.0
0.25152188,0.004782162,5.0
0.258986836,0.004767871,5.0
0.26505951,0.004762214,5.0
0.271274559,0.004750826,5.0
0.275955128,0.004736583,5.0
0.283988482,0.004719582,5.0
0.290326766,0.004705455,5.0
0.299604007,0.004682925,5.0
